Index,Code,Description,Include
523,PV4MACU,Plausible value 4 in content subscale of math - Uncertainty and Data,
524,PV5MACU,Plausible value 5 in content subscale of math - Uncertainty and Data,
525,PV1MAPE,Plausible value 1 in process subscale of math - Employ,
526,PV2MAPE,Plausible value 2 in process subscale of math - Employ,
527,PV3MAPE,Plausible value 3 in process subscale of math - Employ,
528,PV4MAPE,Plausible value 4 in process subscale of math - Employ,
529,PV5MAPE,Plausible value 5 in process subscale of math - Employ,
530,PV1MAPF,Plausible value 1 in process subscale of math - Formulate,
531,PV2MAPF,Plausible value 2 in process subscale of math - Formulate,
532,PV3MAPF,Plausible value 3 in process subscale of math - Formulate,
533,PV4MAPF,Plausible value 4 in process subscale of math - Formulate,
534,PV5MAPF,Plausible value 5 in process subscale of math - Formulate,
535,PV1MAPI,Plausible value 1 in process subscale of math - Interpret,
536,PV2MAPI,Plausible value 2 in process subscale of math - Interpret,
537,PV3MAPI,Plausible value 3 in process subscale of math - Interpret,
538,PV4MAPI,Plausible value 4 in process subscale of math - Interpret,
539,PV5MAPI,Plausible value 5 in process subscale of math - Interpret,
540,PV1READ,Plausible value 1 in reading,1
541,PV2READ,Plausible value 2 in reading,1
542,PV3READ,Plausible value 3 in reading,1
543,PV4READ,Plausible value 4 in reading,1
544,PV5READ,Plausible value 5 in reading,1
545,PV1SCIE,Plausible value 1 in science,1
546,PV2SCIE,Plausible value 2 in science,1
547,PV3SCIE,Plausible value 3 in science,1
548,PV4SCIE,Plausible value 4 in science,1
549,PV5SCIE,Plausible value 5 in science,1
550,W_FSTUWT,FINAL STUDENT WEIGHT,1
551,W_FSTR1,FINAL STUDENT REPLICATE BRR-FAY WEIGHT1,
552,W_FSTR2,FINAL STUDENT REPLICATE BRR-FAY WEIGHT2,
553,W_FSTR3,FINAL STUDENT REPLICATE BRR-FAY WEIGHT3,
554,W_FSTR4,FINAL STUDENT REPLICATE BRR-FAY WEIGHT4,
555,W_FSTR5,FINAL STUDENT REPLICATE BRR-FAY WEIGHT5,
556,W_FSTR6,FINAL STUDENT REPLICATE BRR-FAY WEIGHT6,
557,W_FSTR7,FINAL STUDENT REPLICATE BRR-FAY WEIGHT7,
558,W_FSTR8,FINAL STUDENT REPLICATE BRR-FAY WEIGHT8,
559,W_FSTR9,FINAL STUDENT REPLICATE BRR-FAY WEIGHT9,
560,W_FSTR10,FINAL STUDENT REPLICATE BRR-FAY WEIGHT10,
561,W_FSTR11,FINAL STUDENT REPLICATE BRR-FAY WEIGHT11,
562,W_FSTR12,FINAL STUDENT REPLICATE BRR-FAY WEIGHT12,
563,W_FSTR13,FINAL STUDENT REPLICATE BRR-FAY WEIGHT13,
564,W_FSTR14,FINAL STUDENT REPLICATE BRR-FAY WEIGHT14,
565,W_FSTR15,FINAL STUDENT REPLICATE BRR-FAY WEIGHT15,
566,W_FSTR16,FINAL STUDENT REPLICATE BRR-FAY WEIGHT16,
567,W_FSTR17,FINAL STUDENT REPLICATE BRR-FAY WEIGHT17,
568,W_FSTR18,FINAL STUDENT REPLICATE BRR-FAY WEIGHT18,
569,W_FSTR19,FINAL STUDENT REPLICATE BRR-FAY WEIGHT19,
570,W_FSTR20,FINAL STUDENT REPLICATE BRR-FAY WEIGHT20,
571,W_FSTR21,FINAL STUDENT REPLICATE BRR-FAY WEIGHT21,
572,W_FSTR22,FINAL STUDENT REPLICATE BRR-FAY WEIGHT22,
573,W_FSTR23,FINAL STUDENT REPLICATE BRR-FAY WEIGHT23,
574,W_FSTR24,FINAL STUDENT REPLICATE BRR-FAY WEIGHT24,
575,W_FSTR25,FINAL STUDENT REPLICATE BRR-FAY WEIGHT25,
576,W_FSTR26,FINAL STUDENT REPLICATE BRR-FAY WEIGHT26,
577,W_FSTR27,FINAL STUDENT REPLICATE BRR-FAY WEIGHT27,
578,W_FSTR28,FINAL STUDENT REPLICATE BRR-FAY WEIGHT28,
579,W_FSTR29,FINAL STUDENT REPLICATE BRR-FAY WEIGHT29,
580,W_FSTR30,FINAL STUDENT REPLICATE BRR-FAY WEIGHT30,
581,W_FSTR31,FINAL STUDENT REPLICATE BRR-FAY WEIGHT31,
582,W_FSTR32,FINAL STUDENT REPLICATE BRR-FAY WEIGHT32,
583,W_FSTR33,FINAL STUDENT REPLICATE BRR-FAY WEIGHT33,
584,W_FSTR34,FINAL STUDENT REPLICATE BRR-FAY WEIGHT34,
585,W_FSTR35,FINAL STUDENT REPLICATE BRR-FAY WEIGHT35,
586,W_FSTR36,FINAL STUDENT REPLICATE BRR-FAY WEIGHT36,
587,W_FSTR37,FINAL STUDENT REPLICATE BRR-FAY WEIGHT37,
588,W_FSTR38,FINAL STUDENT REPLICATE BRR-FAY WEIGHT38,
589,W_FSTR39,FINAL STUDENT REPLICATE BRR-FAY WEIGHT39,
590,W_FSTR40,FINAL STUDENT REPLICATE BRR-FAY WEIGHT40,
591,W_FSTR41,FINAL STUDENT REPLICATE BRR-FAY WEIGHT41,
592,W_FSTR42,FINAL STUDENT REPLICATE BRR-FAY WEIGHT42,
593,W_FSTR43,FINAL STUDENT REPLICATE BRR-FAY WEIGHT43,
594,W_FSTR44,FINAL STUDENT REPLICATE BRR-FAY WEIGHT44,
595,W_FSTR45,FINAL STUDENT REPLICATE BRR-FAY WEIGHT45,
596,W_FSTR46,FINAL STUDENT REPLICATE BRR-FAY WEIGHT46,
597,W_FSTR47,FINAL STUDENT REPLICATE BRR-FAY WEIGHT47,
598,W_FSTR48,FINAL STUDENT REPLICATE BRR-FAY WEIGHT48,
599,W_FSTR49,FINAL STUDENT REPLICATE BRR-FAY WEIGHT49,
600,W_FSTR50,FINAL STUDENT REPLICATE BRR-FAY WEIGHT50,
601,W_FSTR51,FINAL STUDENT REPLICATE BRR-FAY WEIGHT51,
602,W_FSTR52,FINAL STUDENT REPLICATE BRR-FAY WEIGHT52,
603,W_FSTR53,FINAL STUDENT REPLICATE BRR-FAY WEIGHT53,
604,W_FSTR54,FINAL STUDENT REPLICATE BRR-FAY WEIGHT54,
605,W_FSTR55,FINAL STUDENT REPLICATE BRR-FAY WEIGHT55,
606,W_FSTR56,FINAL STUDENT REPLICATE BRR-FAY WEIGHT56,
607,W_FSTR57,FINAL STUDENT REPLICATE BRR-FAY WEIGHT57,
608,W_FSTR58,FINAL STUDENT REPLICATE BRR-FAY WEIGHT58,
609,W_FSTR59,FINAL STUDENT REPLICATE BRR-FAY WEIGHT59,
610,W_FSTR60,FINAL STUDENT REPLICATE BRR-FAY WEIGHT60,
611,W_FSTR61,FINAL STUDENT REPLICATE BRR-FAY WEIGHT61,
612,W_FSTR62,FINAL STUDENT REPLICATE BRR-FAY WEIGHT62,
613,W_FSTR63,FINAL STUDENT REPLICATE BRR-FAY WEIGHT63,
614,W_FSTR64,FINAL STUDENT REPLICATE BRR-FAY WEIGHT64,
615,W_FSTR65,FINAL STUDENT REPLICATE BRR-FAY WEIGHT65,
616,W_FSTR66,FINAL STUDENT REPLICATE BRR-FAY WEIGHT66,
617,W_FSTR67,FINAL STUDENT REPLICATE BRR-FAY WEIGHT67,
618,W_FSTR68,FINAL STUDENT REPLICATE BRR-FAY WEIGHT68,
619,W_FSTR69,FINAL STUDENT REPLICATE BRR-FAY WEIGHT69,
620,W_FSTR70,FINAL STUDENT REPLICATE BRR-FAY WEIGHT70,
621,W_FSTR71,FINAL STUDENT REPLICATE BRR-FAY WEIGHT71,
622,W_FSTR72,FINAL STUDENT REPLICATE BRR-FAY WEIGHT72,
623,W_FSTR73,FINAL STUDENT REPLICATE BRR-FAY WEIGHT73,
624,W_FSTR74,FINAL STUDENT REPLICATE BRR-FAY WEIGHT74,
625,W_FSTR75,FINAL STUDENT REPLICATE BRR-FAY WEIGHT75,
626,W_FSTR76,FINAL STUDENT REPLICATE BRR-FAY WEIGHT76,
627,W_FSTR77,FINAL STUDENT REPLICATE BRR-FAY WEIGHT77,
628,W_FSTR78,FINAL STUDENT REPLICATE BRR-FAY WEIGHT78,
629,W_FSTR79,FINAL STUDENT REPLICATE BRR-FAY WEIGHT79,
630,W_FSTR80,FINAL STUDENT REPLICATE BRR-FAY WEIGHT80,
631,WVARSTRR,RANDOMIZED FINAL VARIANCE STRATUM (1-80),
632,VAR_UNIT,RANDOMLY ASSIGNED VARIANCE UNIT,
633,SENWGT_STU,Senate weight - sum of weight within the country is 1000,
634,VER_STU,Date of the database creation,
